"SetuVillageId","PortalLocationCode","PortalOriginalVillageId","SetuVillageName","PortalVillageName","SetuBlockId","SetuBlockName","PortalBlockId","PortalBlockName","SetuDistrictId","SetuDistrictName","PortalDistrictId","PortalDistrictName","OverallStatus","DifferenceDetails"
"10101001","​070170008000800121","560025","Amantapur","AMANTAPUR","10101","Angul","070080","ANGUL","101","Angul","1","ANUGUL","Different","Village text/case differs; District assignment/name differs"
"10101002","","","Angarbandha","","10101","Angul","","","101","Angul","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"10101003","","","Angul Town","","10101","Angul","","","101","Angul","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"10101004","","","Ankula(Part)","","10101","Angul","","","101","Angul","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"10101005","​070150008000800002","559906","Antulia","ANTULIA","10101","Angul","070150","HINDOL","101","Angul","9","DHENKANAL","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"10101006","","","Antulia Forest Beat","","10101","Angul","","","101","Angul","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"10101007","​070160008000800084","559988","Aradiha","ARADIHA","10101","Angul","070160","PALLAHARA","101","Angul","1","ANUGUL","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"10101008","​070150008000800059","559963","Asanbahal","ASAN BAHAL","10101","Angul","070150","HINDOL","101","Angul","9","DHENKANAL","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"10101009","​070210015001500004","556868","Badabahala","BADABAHALA","10101","Angul","070150","HINDOL","101","Angul","9","DHENKANAL","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"10101010","​070160008000800017","559921","Badadandasahi","BADADANDA SAHI","10101","Angul","070160","PALLAHARA","101","Angul","1","ANUGUL","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"10101011","​070160008000800061","559965","Badahinso","BADAHINSO","10101","Angul","070160","PALLAHARA","101","Angul","1","ANUGUL","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
