"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","BlockId","1","int"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","SourceRecordNumber","2","int"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","Area","3","decimal"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","Perimeter","4","decimal"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","BlockCode","5","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","BlockName","6","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","DistrictName","7","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","DistrictCode","8","int"
"OSPBCR_PORTAL","dbo","NhmGisBlocks","Shape","9","geometry"
"OSPBCR_PORTAL","dbo","NhmGisDistricts","DistrictId","1","int"
"OSPBCR_PORTAL","dbo","NhmGisDistricts","SourceRecordNumber","2","int"
"OSPBCR_PORTAL","dbo","NhmGisDistricts","DistrictName","3","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisDistricts","BlockCount","4","int"
"OSPBCR_PORTAL","dbo","NhmGisDistricts","DistrictCode","5","int"
"OSPBCR_PORTAL","dbo","NhmGisDistricts","Shape","6","geometry"
"OSPBCR_PORTAL","dbo","NhmGisVillages","VillageId","1","int"
"OSPBCR_PORTAL","dbo","NhmGisVillages","SourceRecordNumber","2","int"
"OSPBCR_PORTAL","dbo","NhmGisVillages","Area","3","decimal"
"OSPBCR_PORTAL","dbo","NhmGisVillages","Perimeter","4","decimal"
"OSPBCR_PORTAL","dbo","NhmGisVillages","OriginalVillageNumber","5","int"
"OSPBCR_PORTAL","dbo","NhmGisVillages","OriginalVillageId","6","int"
"OSPBCR_PORTAL","dbo","NhmGisVillages","StateCode","7","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","LocationCode","8","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","VillageType","9","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","LocationName","10","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","BlockCode","11","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","BlockName","12","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","DistrictCode","13","int"
"OSPBCR_PORTAL","dbo","NhmGisVillages","DistrictName","14","nvarchar"
"OSPBCR_PORTAL","dbo","NhmGisVillages","Shape","15","geometry"
"Setu_Odisha","dbo","BlockList","Id","1","int"
"Setu_Odisha","dbo","BlockList","StateId","2","nvarchar"
"Setu_Odisha","dbo","BlockList","DistrictId","3","nvarchar"
"Setu_Odisha","dbo","BlockList","BlockId","4","nvarchar"
"Setu_Odisha","dbo","BlockList","BlockName","5","nvarchar"
"Setu_Odisha","dbo","DistrictList","Id","1","int"
"Setu_Odisha","dbo","DistrictList","StateId","2","nvarchar"
"Setu_Odisha","dbo","DistrictList","DistrictId","3","nvarchar"
"Setu_Odisha","dbo","DistrictList","DistrictName","4","nvarchar"
"Setu_Odisha","dbo","VillageList","Id","1","int"
"Setu_Odisha","dbo","VillageList","StateId","2","nvarchar"
"Setu_Odisha","dbo","VillageList","DistrictId","3","nvarchar"
"Setu_Odisha","dbo","VillageList","BlockId","4","nvarchar"
"Setu_Odisha","dbo","VillageList","VillageId","5","nvarchar"
"Setu_Odisha","dbo","VillageList","VillageName","6","nvarchar"
